PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=311 ttl=63 time=502 ms
64 bytes from 10.0.2.22: icmp_seq=312 ttl=63 time=505 ms
64 bytes from 10.0.2.22: icmp_seq=313 ttl=63 time=504 ms
64 bytes from 10.0.2.22: icmp_seq=314 ttl=63 time=496 ms
64 bytes from 10.0.2.22: icmp_seq=315 ttl=63 time=496 ms
64 bytes from 10.0.2.22: icmp_seq=316 ttl=63 time=497 ms
64 bytes from 10.0.2.22: icmp_seq=317 ttl=63 time=495 ms
64 bytes from 10.0.2.22: icmp_seq=318 ttl=63 time=498 ms
64 bytes from 10.0.2.22: icmp_seq=319 ttl=63 time=494 ms
64 bytes from 10.0.2.22: icmp_seq=320 ttl=63 time=496 ms
64 bytes from 10.0.2.22: icmp_seq=321 ttl=63 time=495 ms
64 bytes from 10.0.2.22: icmp_seq=322 ttl=63 time=508 ms
64 bytes from 10.0.2.22: icmp_seq=323 ttl=63 time=509 ms
64 bytes from 10.0.2.22: icmp_seq=324 ttl=63 time=507 ms
64 bytes from 10.0.2.22: icmp_seq=325 ttl=63 time=507 ms
64 bytes from 10.0.2.22: icmp_seq=326 ttl=63 time=510 ms
64 bytes from 10.0.2.22: icmp_seq=327 ttl=63 time=504 ms
64 bytes from 10.0.2.22: icmp_seq=328 ttl=63 time=503 ms
64 bytes from 10.0.2.22: icmp_seq=329 ttl=63 time=503 ms
64 bytes from 10.0.2.22: icmp_seq=330 ttl=63 time=502 ms
64 bytes from 10.0.2.22: icmp_seq=331 ttl=63 time=501 ms
64 bytes from 10.0.2.22: icmp_seq=332 ttl=63 time=500 ms
64 bytes from 10.0.2.22: icmp_seq=333 ttl=63 time=500 ms
64 bytes from 10.0.2.22: icmp_seq=334 ttl=63 time=502 ms
64 bytes from 10.0.2.22: icmp_seq=335 ttl=63 time=503 ms
64 bytes from 10.0.2.22: icmp_seq=336 ttl=63 time=521 ms
64 bytes from 10.0.2.22: icmp_seq=337 ttl=63 time=521 ms
64 bytes from 10.0.2.22: icmp_seq=338 ttl=63 time=522 ms
64 bytes from 10.0.2.22: icmp_seq=339 ttl=63 time=536 ms
64 bytes from 10.0.2.22: icmp_seq=340 ttl=63 time=538 ms
64 bytes from 10.0.2.22: icmp_seq=341 ttl=63 time=519 ms
64 bytes from 10.0.2.22: icmp_seq=342 ttl=63 time=520 ms
64 bytes from 10.0.2.22: icmp_seq=343 ttl=63 time=517 ms
64 bytes from 10.0.2.22: icmp_seq=344 ttl=63 time=521 ms
64 bytes from 10.0.2.22: icmp_seq=345 ttl=63 time=515 ms
64 bytes from 10.0.2.22: icmp_seq=346 ttl=63 time=516 ms
64 bytes from 10.0.2.22: icmp_seq=347 ttl=63 time=522 ms
64 bytes from 10.0.2.22: icmp_seq=348 ttl=63 time=525 ms
64 bytes from 10.0.2.22: icmp_seq=349 ttl=63 time=509 ms
64 bytes from 10.0.2.22: icmp_seq=350 ttl=63 time=511 ms
64 bytes from 10.0.2.22: icmp_seq=351 ttl=63 time=516 ms
64 bytes from 10.0.2.22: icmp_seq=352 ttl=63 time=527 ms
64 bytes from 10.0.2.22: icmp_seq=353 ttl=63 time=523 ms
64 bytes from 10.0.2.22: icmp_seq=354 ttl=63 time=535 ms
64 bytes from 10.0.2.22: icmp_seq=355 ttl=63 time=548 ms
64 bytes from 10.0.2.22: icmp_seq=356 ttl=63 time=551 ms
64 bytes from 10.0.2.22: icmp_seq=357 ttl=63 time=540 ms
64 bytes from 10.0.2.22: icmp_seq=358 ttl=63 time=541 ms
64 bytes from 10.0.2.22: icmp_seq=359 ttl=63 time=534 ms
64 bytes from 10.0.2.22: icmp_seq=360 ttl=63 time=516 ms
64 bytes from 10.0.2.22: icmp_seq=361 ttl=63 time=506 ms
64 bytes from 10.0.2.22: icmp_seq=362 ttl=63 time=507 ms
64 bytes from 10.0.2.22: icmp_seq=363 ttl=63 time=507 ms
64 bytes from 10.0.2.22: icmp_seq=364 ttl=63 time=520 ms
64 bytes from 10.0.2.22: icmp_seq=365 ttl=63 time=521 ms
64 bytes from 10.0.2.22: icmp_seq=366 ttl=63 time=523 ms
64 bytes from 10.0.2.22: icmp_seq=367 ttl=63 time=519 ms
64 bytes from 10.0.2.22: icmp_seq=368 ttl=63 time=522 ms
64 bytes from 10.0.2.22: icmp_seq=369 ttl=63 time=510 ms
64 bytes from 10.0.2.22: icmp_seq=370 ttl=63 time=509 ms
64 bytes from 10.0.2.22: icmp_seq=371 ttl=63 time=508 ms
64 bytes from 10.0.2.22: icmp_seq=372 ttl=63 time=510 ms
64 bytes from 10.0.2.22: icmp_seq=373 ttl=63 time=508 ms
64 bytes from 10.0.2.22: icmp_seq=374 ttl=63 time=511 ms
64 bytes from 10.0.2.22: icmp_seq=375 ttl=63 time=511 ms
64 bytes from 10.0.2.22: icmp_seq=376 ttl=63 time=509 ms
64 bytes from 10.0.2.22: icmp_seq=377 ttl=63 time=510 ms
64 bytes from 10.0.2.22: icmp_seq=378 ttl=63 time=513 ms
64 bytes from 10.0.2.22: icmp_seq=379 ttl=63 time=513 ms
64 bytes from 10.0.2.22: icmp_seq=380 ttl=63 time=514 ms
64 bytes from 10.0.2.22: icmp_seq=381 ttl=63 time=513 ms
64 bytes from 10.0.2.22: icmp_seq=382 ttl=63 time=514 ms
64 bytes from 10.0.2.22: icmp_seq=383 ttl=63 time=512 ms
64 bytes from 10.0.2.22: icmp_seq=384 ttl=63 time=514 ms
64 bytes from 10.0.2.22: icmp_seq=385 ttl=63 time=512 ms
64 bytes from 10.0.2.22: icmp_seq=386 ttl=63 time=532 ms
64 bytes from 10.0.2.22: icmp_seq=387 ttl=63 time=548 ms
64 bytes from 10.0.2.22: icmp_seq=388 ttl=63 time=551 ms
64 bytes from 10.0.2.22: icmp_seq=389 ttl=63 time=551 ms
64 bytes from 10.0.2.22: icmp_seq=390 ttl=63 time=550 ms
64 bytes from 10.0.2.22: icmp_seq=391 ttl=63 time=534 ms
64 bytes from 10.0.2.22: icmp_seq=392 ttl=63 time=522 ms
64 bytes from 10.0.2.22: icmp_seq=393 ttl=63 time=515 ms
64 bytes from 10.0.2.22: icmp_seq=394 ttl=63 time=516 ms
64 bytes from 10.0.2.22: icmp_seq=395 ttl=63 time=525 ms
64 bytes from 10.0.2.22: icmp_seq=396 ttl=63 time=521 ms
64 bytes from 10.0.2.22: icmp_seq=397 ttl=63 time=522 ms
64 bytes from 10.0.2.22: icmp_seq=398 ttl=63 time=524 ms
64 bytes from 10.0.2.22: icmp_seq=399 ttl=63 time=523 ms
64 bytes from 10.0.2.22: icmp_seq=400 ttl=63 time=532 ms
